participant,cond,distance_type,raw_dist,log_distance_type,log_dist
CEL_130-1-7,1,other,361.8096447,log_other,NA
CEL_142-0-6,0,other,874.2369734,log_other,NA
CEL_145-0-8,0,other,544.2466184,log_other,NA
CEL_146-1-7,1,other,371.3788955,log_other,NA
CEL_147-1-2,1,other,774.3709796,log_other,NA
CEL_149-1-2,1,other,418.8739373,log_other,NA
CEL_150-1-2,1,other,446.7957707,log_other,NA
CEL_151-0-4,0,other,597.8756364,log_other,NA
CEL_152-1-5,1,other,524.6909887,log_other,NA
CEL_153-1-7,1,other,700.9063243,log_other,NA
CEL_154-0-5,0,other,550.9325016,log_other,NA
CEL_155-1-5,1,other,486.8045873,log_other,NA
CEL_156-1-3,1,other,721.8878279,log_other,NA
CEL_158-1-7,1,other,877.169234,log_other,NA
CEL_159-1-2,1,other,424.8444038,log_other,NA
CEL_160-0-7,0,other,459.8826637,log_other,NA
CEL_161-0-2,0,other,689.3608125,log_other,NA
CEL_162-1-3,1,other,393.676494,log_other,NA
CEL_163-1-2,1,other,892.0854848,log_other,NA
CEL_164-0-2,0,other,538.0425178,log_other,NA
CEL_165-1-3,1,other,509.9749095,log_other,NA
CEL_166-1-2,1,other,502.0798124,log_other,NA
CEL_167-0-2,0,other,559.2953546,log_other,NA
CEL_169-1-2,1,other,704.8894931,log_other,NA
CEL_170-0-7,0,other,486.2784172,log_other,NA
CEL_171-1-2,1,other,526.8268231,log_other,NA
CEL_172a-1-2,1,other,458.692716,log_other,NA
CEL_173-0-2,0,other,228.1363175,log_other,NA
CEL_174-1-3,1,other,731.3920722,log_other,NA
CEL_175-1-2,1,other,781.3460926,log_other,NA
CEL_176-0-2,0,other,419.5958502,log_other,NA
CEL_177-1-5,1,other,519.2177754,log_other,NA
CEL_178-1-2,1,other,389.2323055,log_other,NA
CEL_179-0-2,0,other,763.3081601,log_other,NA
CEL_180-1-3,1,other,256.6168636,log_other,NA
CEL_181-1-3,1,other,282.416285,log_other,NA
CEL_182-0-4,0,other,405.8787025,log_other,NA
CEL_183-1-2,1,other,709.3141863,log_other,NA
CEL_185-0-7,0,other,602.0284659,log_other,NA
CEL_186-1-2,1,other,612.2187586,log_other,NA
CEL_187-1-2,1,other,378.2163721,log_other,NA
CEL_188-0-2,0,other,524.5752038,log_other,NA
CEL_189-1-4,1,other,599.5549099,log_other,NA
CEL_190-1-2,1,other,759.6487592,log_other,NA
CEL_191-0-2,0,other,628.794576,log_other,NA
CEL_194-1-4,1,other,408.5059896,log_other,NA
CEL_195-1-3,1,other,89.89483071,log_other,NA
CEL_196-0-3,0,other,328.0823954,log_other,NA
CEL_198-1-2,1,other,447.7748208,log_other,NA
CEL_204-0-2,0,other,978.666668,log_other,NA
CEL_210-0-3,0,other,444.2973717,log_other,NA
CEL_214-1-2,1,other,433.0762775,log_other,NA
CEL_216-0-7,0,other,692.418367,log_other,NA
CEL_220-1-2,1,other,339.9126417,log_other,NA
CEL_221-0-5,0,other,749.6984698,log_other,NA
CEL_223-0-5,0,other,376.0201996,log_other,NA
CEL_224-1-2,1,other,777.4704415,log_other,NA
CEL_226-1-3,1,other,366.2814304,log_other,NA
CEL_229-0-4,0,other,854.3549519,log_other,NA
CEL_230-0-4,0,other,408.8345257,log_other,NA
CEL_232-0-3,0,other,443.4077365,log_other,NA
CEL_233-0-3,0,other,670.7210893,log_other,NA
CEL_234-0-5,0,other,423.0695492,log_other,NA
CEL_235-0-4,0,other,634.0365781,log_other,NA
CEL_237-0-2,0,other,493.2374599,log_other,NA
CEL_238-0-3,0,other,563.9084022,log_other,NA
CEL_239-0-4,0,other,325.1329303,log_other,NA
CEL_240-0-2,0,other,494.8304911,log_other,NA
CEL_241-0-4,0,other,629.9151572,log_other,NA
CEL_243-0-3,0,other,358.6854086,log_other,NA
CEL_244-0-2,0,other,402.2324247,log_other,NA
CEL_245-0-9,0,other,357.1431861,log_other,NA
CEL_246-0-2,0,other,592.6621018,log_other,NA
CEL_247-0-6,0,other,586.8469875,log_other,NA
CEL_248-0-6,0,other,297.370954,log_other,NA
CEL_249-0-5,0,other,444.2861649,log_other,NA
CEL_250-0-7,0,other,620.8607662,log_other,NA
CEL_252-0-6,0,other,420.538605,log_other,NA
CEL_253-0-2,0,other,575.5104759,log_other,NA
CEL_43-1-4,1,other,561.9780625,log_other,NA
CEL_baseline_113-0-5,-1,other,324.7038366,log_other,NA
CEL_baseline_114-0-3,-1,other,632.8927124,log_other,NA
CEL_baseline_115-0-4,-1,other,512.6299712,log_other,NA
CEL_baseline_116-0-5,-1,other,429.2368494,log_other,NA
CEL_baseline_118-0-5,-1,other,668.6537906,log_other,NA
CEL_baseline_120-0-5,-1,other,293.1370073,log_other,NA
CEL_baseline_123-0-3,-1,other,270.7143606,log_other,NA
CEL_baseline_124-0-2,-1,other,777.9059334,log_other,NA
CEL_baseline_125-0-3,-1,other,751.3505051,log_other,NA
CEL_baseline_126-0-4,-1,other,722.7477296,log_other,NA
CEL_baseline_128-0-2,-1,other,75.4006078,log_other,NA
CEL_baseline_129-0-3,-1,other,415.6860975,log_other,NA
CEL_baseline_130-0-3,-1,other,637.4767192,log_other,NA
CEL_baseline_131-0-4,-1,other,604.5791631,log_other,NA
CEL_baseline_133-0-2,-1,other,249.5996237,log_other,NA
CEL_baseline_134-0-4,-1,other,551.4754023,log_other,NA
CEL_baseline_135-0-4,-1,other,552.5283412,log_other,NA
CEL_baseline_137-0-4,-1,other,487.1477198,log_other,NA
CEL_baseline_162-0-2,-1,other,909.5122962,log_other,NA
CEL_baseline_165-0-4,-1,other,680.2257507,log_other,NA
CEL_baseline_166-0-4,-1,other,566.7924683,log_other,NA
CEL_baseline_167-0-6,-1,other,191.7333775,log_other,NA
CEL_baseline_168-0-2,-1,other,694.7217353,log_other,NA
CEL_baseline_169-0-2,-1,other,531.2318933,log_other,NA
CEL_baseline_170-0-3,-1,other,180.8915331,log_other,NA
CEL_baseline_171-0-4,-1,other,439.9636545,log_other,NA
CEL_baseline_172-0-4,-1,other,712.3707329,log_other,NA
CEL_baseline_173-0-3,-1,other,248.9258911,log_other,NA
CEL_baseline_176-0-7,-1,other,435.3701434,log_other,NA
CEL_baseline_177-0-2,-1,other,679.7835806,log_other,NA
CEL_baseline_179-0-3,-1,other,405.5362159,log_other,NA
CEL_baseline_181-0-2,-1,other,699.839147,log_other,NA
CEL_baseline_182-0-2,-1,other,933.0383316,log_other,NA
CEL_baseline_183-0-4,-1,other,847.8308224,log_other,NA
CEL_baseline_184-0-6,-1,other,260.579112,log_other,NA
CEL_baseline_185-0-5,-1,other,431.7761795,log_other,NA
CEL_baseline_186-0-4,-1,other,363.3682209,log_other,NA
CEL_baseline_187-0-4,-1,other,1076.094341,log_other,NA
CEL_baseline_188-0-5,-1,other,534.0588547,log_other,NA
CEL_baseline_189-0-3,-1,other,366.485298,log_other,NA
CEL_baseline_191-0-5,-1,other,323.9247277,log_other,NA
CEL_baseline_193-0-8,-1,other,1067.301028,log_other,NA
CEL_baseline_195-0-7,-1,other,469.0833098,log_other,NA
CEL_baseline_196-0-5,-1,other,614.5505702,log_other,NA
CEL_baseline_197-0-6,-1,other,182.6961405,log_other,NA
CEL_retention_101-1-2,1,other,513.2205257,log_other,NA
CEL_retention_103-1-2,1,other,81.73986949,log_other,NA
CEL_retention_106-1-2,1,other,439.3574783,log_other,NA
CEL_retention_107-1-4,1,other,721.4155685,log_other,NA
CEL_130-1-7,1,proto_far,380.5109331,log_proto_far,0.05039668
CEL_142-0-6,0,proto_far,324.6595021,log_proto_far,-0.990574528
CEL_145-0-8,0,proto_far,320.0013061,log_proto_far,-0.531077409
CEL_146-1-7,1,proto_far,395.310124,log_proto_far,0.062447758
CEL_147-1-2,1,proto_far,194.8298701,log_proto_far,-1.379924344
CEL_149-1-2,1,proto_far,241.0982666,log_proto_far,-0.552365413
CEL_150-1-2,1,proto_far,40.62892384,log_proto_far,-2.397621379
CEL_151-0-4,0,proto_far,755.298827,log_proto_far,0.233730702
CEL_152-1-5,1,proto_far,561.4623591,log_proto_far,0.067735239
CEL_153-1-7,1,proto_far,450.952325,log_proto_far,-0.441012622
CEL_154-0-5,0,proto_far,471.0001923,log_proto_far,-0.156753798
CEL_155-1-5,1,proto_far,289.51299,log_proto_far,-0.519662618
CEL_156-1-3,1,proto_far,242.4897011,log_proto_far,-1.090910524
CEL_158-1-7,1,proto_far,300.1831138,log_proto_far,-1.072307275
CEL_159-1-2,1,proto_far,224.8003435,log_proto_far,-0.636510347
CEL_160-0-7,0,proto_far,838.5753546,log_proto_far,0.600733067
CEL_161-0-2,0,proto_far,607.1161168,log_proto_far,-0.127044741
CEL_162-1-3,1,proto_far,527.967865,log_proto_far,0.293505929
CEL_163-1-2,1,proto_far,282.630906,log_proto_far,-1.149420136
CEL_164-0-2,0,proto_far,261.2026667,log_proto_far,-0.72264098
CEL_165-1-3,1,proto_far,357.866479,log_proto_far,-0.354201574
CEL_166-1-2,1,proto_far,56.96686328,log_proto_far,-2.176289343
CEL_167-0-2,0,proto_far,386.1936122,log_proto_far,-0.370338866
CEL_169-1-2,1,proto_far,276.3954007,log_proto_far,-0.936208591
CEL_170-0-7,0,proto_far,399.3884423,log_proto_far,-0.196846852
CEL_171-1-2,1,proto_far,742.8122983,log_proto_far,0.3435715
CEL_172a-1-2,1,proto_far,616.8828422,log_proto_far,0.296298601
CEL_173-0-2,0,proto_far,396.497525,log_proto_far,0.552726465
CEL_174-1-3,1,proto_far,208.3156113,log_proto_far,-1.255895375
CEL_175-1-2,1,proto_far,155.1152688,log_proto_far,-1.616849682
CEL_176-0-2,0,proto_far,244.3026712,log_proto_far,-0.540884074
CEL_177-1-5,1,proto_far,713.9980509,log_proto_far,0.318556832
CEL_178-1-2,1,proto_far,619.1897555,log_proto_far,0.464235426
CEL_179-0-2,0,proto_far,707.7308957,log_proto_far,-0.075597899
CEL_180-1-3,1,proto_far,67.65097297,log_proto_far,-1.333222433
CEL_181-1-3,1,proto_far,378.4938587,log_proto_far,0.292817677
CEL_182-0-4,0,proto_far,167.8127643,log_proto_far,-0.883205493
CEL_183-1-2,1,proto_far,295.7812127,log_proto_far,-0.874678534
CEL_185-0-7,0,proto_far,622.3181303,log_proto_far,0.033146696
CEL_186-1-2,1,proto_far,334.023979,log_proto_far,-0.605876883
CEL_187-1-2,1,proto_far,485.2212072,log_proto_far,0.249138439
CEL_188-0-2,0,proto_far,554.8114826,log_proto_far,0.056039586
CEL_189-1-4,1,proto_far,604.0599123,log_proto_far,0.007485823
CEL_190-1-2,1,proto_far,327.8298243,log_proto_far,-0.840361522
CEL_191-0-2,0,proto_far,173.8304279,log_proto_far,-1.285724343
CEL_194-1-4,1,proto_far,512.2461645,log_proto_far,0.226298723
CEL_195-1-3,1,proto_far,219.1429831,log_proto_far,0.891083968
CEL_196-0-3,0,proto_far,376.9441652,log_proto_far,0.138832291
CEL_198-1-2,1,proto_far,493.7083492,log_proto_far,0.097654483
CEL_204-0-2,0,proto_far,240.8878419,log_proto_far,-1.401859664
CEL_210-0-3,0,proto_far,175.6180909,log_proto_far,-0.928182395
CEL_214-1-2,1,proto_far,565.1442024,log_proto_far,0.266167051
CEL_216-0-7,0,proto_far,156.7062268,log_proto_far,-1.485817464
CEL_220-1-2,1,proto_far,546.0842876,log_proto_far,0.474084688
CEL_221-0-5,0,proto_far,456.4554122,log_proto_far,-0.496180063
CEL_223-0-5,0,proto_far,372.2237351,log_proto_far,-0.010147753
CEL_224-1-2,1,proto_far,315.3934691,log_proto_far,-0.902224658
CEL_226-1-3,1,proto_far,209.7808263,log_proto_far,-0.557338672
CEL_229-0-4,0,proto_far,614.5685916,log_proto_far,-0.329426197
CEL_230-0-4,0,proto_far,219.3905015,log_proto_far,-0.622457238
CEL_232-0-3,0,proto_far,325.5325845,log_proto_far,-0.309027183
CEL_233-0-3,0,proto_far,195.9146253,log_proto_far,-1.230674407
CEL_234-0-5,0,proto_far,310.2147918,log_proto_far,-0.31027165
CEL_235-0-4,0,proto_far,818.8353154,log_proto_far,0.255776337
CEL_237-0-2,0,proto_far,392.042008,log_proto_far,-0.229621724
CEL_238-0-3,0,proto_far,232.2791184,log_proto_far,-0.886952086
CEL_239-0-4,0,proto_far,430.1182816,log_proto_far,0.279826129
CEL_240-0-2,0,proto_far,402.1373899,log_proto_far,-0.207421466
CEL_241-0-4,0,proto_far,425.0347779,log_proto_far,-0.393414143
CEL_243-0-3,0,proto_far,406.0704109,log_proto_far,0.124080865
CEL_244-0-2,0,proto_far,324.5626376,log_proto_far,-0.214551547
CEL_245-0-9,0,proto_far,414.9928222,log_proto_far,0.150124441
CEL_246-0-2,0,proto_far,442.8756706,log_proto_far,-0.291335348
CEL_247-0-6,0,proto_far,774.175485,log_proto_far,0.277034455
CEL_248-0-6,0,proto_far,220.2928996,log_proto_far,-0.30002234
CEL_249-0-5,0,proto_far,304.3140242,log_proto_far,-0.378408728
CEL_250-0-7,0,proto_far,268.3921817,log_proto_far,-0.838657573
CEL_252-0-6,0,proto_far,484.427262,log_proto_far,0.141431007
CEL_253-0-2,0,proto_far,132.1730178,log_proto_far,-1.471145626
CEL_43-1-4,1,proto_far,407.4625602,log_proto_far,-0.321513763
CEL_baseline_113-0-5,-1,proto_far,369.2951476,log_proto_far,0.128682688
CEL_baseline_114-0-3,-1,proto_far,628.2158369,log_proto_far,-0.00741712
CEL_baseline_115-0-4,-1,proto_far,239.1670906,log_proto_far,-0.762391849
CEL_baseline_116-0-5,-1,proto_far,499.5384823,log_proto_far,0.151675773
CEL_baseline_118-0-5,-1,proto_far,795.3061989,log_proto_far,0.173460773
CEL_baseline_120-0-5,-1,proto_far,273.4047193,log_proto_far,-0.069686916
CEL_baseline_123-0-3,-1,proto_far,305.3171538,log_proto_far,0.12028684
CEL_baseline_124-0-2,-1,proto_far,379.7714196,log_proto_far,-0.717036064
CEL_baseline_125-0-3,-1,proto_far,749.9414148,log_proto_far,-0.001877171
CEL_baseline_126-0-4,-1,proto_far,671.1884899,log_proto_far,-0.074010233
CEL_baseline_128-0-2,-1,proto_far,242.0270307,log_proto_far,1.166234081
CEL_baseline_129-0-3,-1,proto_far,247.6301411,log_proto_far,-0.517994135
CEL_baseline_130-0-3,-1,proto_far,697.8547726,log_proto_far,0.090493261
CEL_baseline_131-0-4,-1,proto_far,667.6145551,log_proto_far,0.099178376
CEL_baseline_133-0-2,-1,proto_far,270.9992231,log_proto_far,0.082257825
CEL_baseline_134-0-4,-1,proto_far,602.0095636,log_proto_far,0.087676095
CEL_baseline_135-0-4,-1,proto_far,380.8565096,log_proto_far,-0.372082039
CEL_baseline_137-0-4,-1,proto_far,521.5036439,log_proto_far,0.068148859
CEL_baseline_162-0-2,-1,proto_far,416.706481,log_proto_far,-0.780526426
CEL_baseline_165-0-4,-1,proto_far,846.0148997,log_proto_far,0.218112242
CEL_baseline_166-0-4,-1,proto_far,739.6998491,log_proto_far,0.266251275
CEL_baseline_167-0-6,-1,proto_far,204.6939179,log_proto_far,0.065410032
CEL_baseline_168-0-2,-1,proto_far,429.5538252,log_proto_far,-0.48076433
CEL_baseline_169-0-2,-1,proto_far,636.6977743,log_proto_far,0.181096455
CEL_baseline_170-0-3,-1,proto_far,223.9019534,log_proto_far,0.213310661
CEL_baseline_171-0-4,-1,proto_far,179.5102554,log_proto_far,-0.89645978
CEL_baseline_172-0-4,-1,proto_far,1391.006202,log_proto_far,0.669184182
CEL_baseline_173-0-3,-1,proto_far,196.8927,log_proto_far,-0.234496316
CEL_baseline_176-0-7,-1,proto_far,335.9931576,log_proto_far,-0.259105778
CEL_baseline_177-0-2,-1,proto_far,381.2511709,log_proto_far,-0.578316085
CEL_baseline_179-0-3,-1,proto_far,410.7280031,log_proto_far,0.012721021
CEL_baseline_181-0-2,-1,proto_far,672.9707072,log_proto_far,-0.039148716
CEL_baseline_182-0-2,-1,proto_far,33.83472665,log_proto_far,-3.316958593
CEL_baseline_183-0-4,-1,proto_far,292.713335,log_proto_far,-1.063487363
CEL_baseline_184-0-6,-1,proto_far,453.188115,log_proto_far,0.553400796
CEL_baseline_185-0-5,-1,proto_far,378.7254686,log_proto_far,-0.131095765
CEL_baseline_186-0-4,-1,proto_far,194.7260395,log_proto_far,-0.623823058
CEL_baseline_187-0-4,-1,proto_far,883.4718737,log_proto_far,-0.197233958
CEL_baseline_188-0-5,-1,proto_far,520.1427821,log_proto_far,-0.026402693
CEL_baseline_189-0-3,-1,proto_far,626.9265114,log_proto_far,0.536870921
CEL_baseline_191-0-5,-1,proto_far,551.7177106,log_proto_far,0.532525355
CEL_baseline_193-0-8,-1,proto_far,529.8171678,log_proto_far,-0.700356356
CEL_baseline_195-0-7,-1,proto_far,284.0332119,log_proto_far,-0.501689211
CEL_baseline_196-0-5,-1,proto_far,550.4798442,log_proto_far,-0.110100879
CEL_baseline_197-0-6,-1,proto_far,127.9949133,log_proto_far,-0.355833815
CEL_retention_101-1-2,1,proto_far,34.55467756,log_proto_far,-2.698162701
CEL_retention_103-1-2,1,proto_far,259.7632061,log_proto_far,1.156228589
CEL_retention_106-1-2,1,proto_far,30.25390455,log_proto_far,-2.675688131
CEL_retention_107-1-4,1,proto_far,352.8217087,log_proto_far,-0.715252494
CEL_130-1-7,1,proto_medium,20.0975807,log_proto_medium,-2.890518786
CEL_142-0-6,0,proto_medium,433.9668633,log_proto_medium,-0.700383296
CEL_145-0-8,0,proto_medium,782.7692371,log_proto_medium,0.363435449
CEL_146-1-7,1,proto_medium,669.9172329,log_proto_medium,0.589931349
CEL_147-1-2,1,proto_medium,296.7630931,log_proto_medium,-0.959116906
CEL_149-1-2,1,proto_medium,297.0345779,log_proto_medium,-0.343721453
CEL_150-1-2,1,proto_medium,18.19408854,log_proto_medium,-3.201004866
CEL_151-0-4,0,proto_medium,592.6318903,log_proto_medium,-0.008809319
CEL_152-1-5,1,proto_medium,441.5781425,log_proto_medium,-0.172454499
CEL_153-1-7,1,proto_medium,397.4902008,log_proto_medium,-0.567203965
CEL_154-0-5,0,proto_medium,267.7882114,log_proto_medium,-0.721415888
CEL_155-1-5,1,proto_medium,412.5395745,log_proto_medium,-0.165530645
CEL_156-1-3,1,proto_medium,289.4462161,log_proto_medium,-0.913900266
CEL_158-1-7,1,proto_medium,217.169778,log_proto_medium,-1.396020508
CEL_159-1-2,1,proto_medium,316.3242733,log_proto_medium,-0.294955125
CEL_160-0-7,0,proto_medium,601.1277949,log_proto_medium,0.267836171
CEL_161-0-2,0,proto_medium,584.5501906,log_proto_medium,-0.164922163
CEL_162-1-3,1,proto_medium,430.5241431,log_proto_medium,0.089473913
CEL_163-1-2,1,proto_medium,307.358958,log_proto_medium,-1.065545654
CEL_164-0-2,0,proto_medium,556.5573282,log_proto_medium,0.033832595
CEL_165-1-3,1,proto_medium,326.052261,log_proto_medium,-0.447303849
CEL_166-1-2,1,proto_medium,40.86110854,log_proto_medium,-2.508580377
CEL_167-0-2,0,proto_medium,542.9404488,log_proto_medium,-0.029678053
